Feature ID,Locus Name,Gene length,Chromosome region start,Chromosome region end,0 Hour Time Point Unique gene reads,Total gene reads,RPKM,6 Hour Time Point Unique gene reads,Total gene reads,RPKM,Fold Change in RPKM  0 to 6 hours ,12 Hour Time Point Unique gene reads,Total gene reads,RPKM,Fold Change in RPKM 0 to 12 hours,21 Hour Time Point Unique gene reads,Total gene reads,RPKM,Fold Change in RPKM 0 to 21 hours
all2134,all2134,1213,2560328,2561541,2345,2345,112.8049262,1868,1868,97.48297603,-1.15717565,2261,2261,105.0999408,-1.073311035,298,298,13.76103791,-8.197414099
clpB (Nostoc_chromosome 2344307..2346852),alr1963,2545,2344307,2346852,2343,2343,53.71932183,1463,1464,36.41379963,-1.475246263,1098,1098,24.32636749,-2.208275521,1528,1528,33.63034291,-1.597346836
alr7325,alr7325,1312,359983,361295,2342,2342,102778.7296,2554,2554,99430.29633,-1.033676187,1738,1738,69720.79589,-1.474147394,1442,1442,63176.71816,-1.626845024
alr0882,alr0882,952,1017946,1018898,2337,2337,143.2411448,1021,1021,67.88932675,-2.109921422,4503,4503,266.7028817,1.861915318,1606,1606,94.49401897,-1.515875252
alr4331,alr4331,2164,5183940,5186104,2275,2275,61.34372778,1343,1343,39.28542577,-1.561488175,2784,2784,72.53952113,1.182509178,3028,3028,78.37802981,1.277686124
psbC,alr4291,1480,5144669,5146149,2223,2239,88.27513646,1224,1267,54.1910552,-1.628961387,2069,2094,79.77699467,-1.106523714,2400,2435,92.15798663,1.043985774
alr5307,alr5307,1204,6328286,6329490,2179,2179,105.6031232,1014,1014,53.3119019,-1.980854546,831,831,38.91681112,-2.713560546,917,917,42.6617412,-2.475358958
psbJ,asr3848,223,4644520,4644743,2169,2169,567.5455311,910,910,258.314769,-2.197108332,1472,1472,372.1908196,-1.524877835,1605,1605,403.1492923,-1.407780051
alr3330,alr3330,475,4025122,4025597,2161,2161,265.4649429,917,917,122.2048477,-2.1722947,386,386,45.82013926,-5.793630208,733,733,86.43827534,-3.071150389
rnpB,rnpb,560,4950354,4950914,2107,2111,219.9612736,1273,1276,144.2365598,-1.525003605,863,873,87.90001039,-2.502403272,883,892,89.22212352,-2.465322108
all2003,all2003,403,2395911,2396314,2071,2071,299.8617507,589,589,92.51730145,-3.241142424,8634,8634,1208.007715,4.028548864,3919,3919,544.7107489,1.816539614
asl3981,asl3981,316,4795172,4795488,2029,2029,374.6631532,1070,1070,214.3430485,-1.747960364,963,963,171.8311569,-2.180414541,880,880,155.9880459,-2.401870932
recR,alr4977,427,5941914,5942341,2016,2016,275.4917972,561,561,83.1663601,-3.31253883,864,864,114.0902619,-2.414682835,785,785,102.9763537,-2.675291825
rpl4,all4214,733,5051033,5051766,1988,1998,159.0514119,711,718,62.00592315,-2.565100297,2947,2960,227.6934021,1.431571084,9120,9176,701.2052488,4.408670382
all7245,all7245,1324,266190,267514,1944,1997,86844.09011,936,972,37498.15981,-2.315956051,1050,1074,42693.59199,-2.034124703,949,963,41808.43765,-2.077190515
all0334,all0334,418,384997,385415,1942,1942,271.0934117,889,889,134.6288659,-2.013635114,1294,1294,174.5503421,-1.553095849,792,792,106.1315795,-2.554314304
alr3300,alr3300,1177,3981108,3982285,1937,1937,96.02828601,1055,1055,56.73991814,-1.692429054,1858,1858,89.00859721,-1.07886529,1834,1834,87.28077553,-1.100222648
all1871,all1871,451,2233584,2234035,1918,1918,248.1521718,931,931,130.6729956,-1.899031782,4125,4125,515.7154243,2.07822249,2745,2745,340.9271083,1.373863085
hoxU,alr0762,817,883716,884533,1882,1882,134.4137142,926,926,71.74665174,-1.873449296,6,6,0.414087293,-324.602364,53,53,3.633703951,-36.990827
alr0763,alr0763,691,884547,885238,1868,1868,157.7410923,868,868,79.51597453,-1.983766071,6,6,0.489593804,-322.1876812,59,59,4.78266203,-32.98186059
psaF,all0109,595,111176,111771,1863,2074,203.3938447,752,801,85.21739585,-2.386764377,1997,2247,212.9358651,1.046914008,1934,2104,198.0726435,-1.026864897
rpl34,asr3412,235,4122545,4122780,1814,2042,507.0302784,659,817,220.0730703,-2.303917866,3324,3772,905.0374105,1.78497705,3383,3976,947.7073339,1.869133609
all2262,all2262,529,2721608,2722137,1772,1784,196.7819217,1020,1029,123.1324188,-1.598132511,189,189,20.14507283,-9.768240768,235,236,24.98918309,-7.87468406
atpB,all5039,1549,6010080,6011629,1759,1759,66.2613746,1210,1210,49.44776433,-1.340027714,2144,2144,78.04338052,1.17781107,3848,3848,139.1487706,2.099998248
groES,alr3661,412,4418661,4419073,1737,1737,246.0076553,934,934,143.5034586,-1.714297744,1944,1944,266.0490756,1.081466653,1729,1729,235.0679962,-1.046538275
asr3098,asr3098,313,3750505,3750818,1703,1703,317.4799694,806,806,163.0059332,-1.947658979,5669,5669,1021.232974,3.216684744,4911,4911,878.8632904,2.768248
atpE,all5038,514,6009573,6010087,1646,1646,186.8584454,1096,1096,134.9771156,-1.384371303,2685,2685,294.5397276,1.576271958,3468,3468,377.9302875,2.022548602
chlP,alr0128,1321,131389,132710,1606,1606,70.93960121,911,911,43.65442452,-1.625026604,4812,4812,205.3929397,2.895321318,3558,3558,150.8685979,2.126719002
psaD,all0329,520,377621,378141,1592,1592,178.6428913,764,765,93.12596791,-1.918292989,1365,1365,148.0103268,-1.206962347,1311,1311,141.2196322,-1.265000401
all0635,all0635,2566,734052,736618,1573,1574,35.79266992,970,970,23.92917856,-1.49577512,23,23,0.505398436,-70.82069782,30,30,0.654877894,-54.65548654
all0641,all0641,400,744199,744599,1569,1569,228.8805939,95,96,15.19231477,-15.06555106,171,171,24.10453893,-9.495331752,244,244,34.16847241,-6.698590183
nifJ (Nostoc_chromosome 2287902..2291566),alr1911,3664,2287902,2291566,1564,1564,24.90733736,823,823,14.21860791,-1.751742331,62,62,0.954111069,-26.10528079,45,45,0.687943508,-36.20549807
all4763,all4763,724,5676914,5677638,1560,1574,126.8563412,375,381,33.31187802,-3.808141381,608,612,47.66236253,-2.661562173,743,744,57.56123421,-2.203850264
petF,all4148,400,4992504,4992904,1548,1548,225.8171825,753,753,119.1647189,-1.895000337,2348,2348,330.9792831,1.465695743,2293,2293,321.0996199,1.421945028
pecA,alr0524,589,616871,617460,1537,1537,152.2665796,784,784,84.25845201,-1.807137159,97,97,9.285796231,-16.39779463,106,106,10.08059806,-15.10491528
atpI,all0010,856,8323,9179,1525,1533,104.4995474,978,992,73.35852924,-1.424504397,1484,1490,98.14658963,-1.064729277,2843,2867,187.6072668,1.795292624
alr3353,alr3353,2383,4056586,4058969,1519,1519,37.19458787,1081,1081,28.71536624,-1.295285164,5710,5710,135.1060433,3.632411356,3772,3772,88.66319349,2.383765988
psbU,alr1216,550,1433191,1433741,1512,1512,160.4113601,610,610,70.20690914,-2.284837234,1702,1702,174.4855939,1.087738386,2009,2009,204.6034607,1.275492338
sigA,all5263,1273,6277666,6278939,1501,1501,68.80156357,930,930,46.24526293,-1.487753755,3115,3115,137.9724439,2.005367855,3335,3335,146.7449493,2.132872303
psaE,asr4319,313,5172241,5172554,1488,1488,277.3988224,610,610,123.3667733,-2.248569976,1375,1375,247.6971846,-1.119911083,1289,1289,230.677007,-1.202542143
atpF,all0007,664,6685,7349,1485,1587,139.4616717,950,1004,95.71463369,-1.457056945,2110,2254,191.4029125,1.372440974,4357,4705,396.9056456,2.845983708
all7229,all7229,1633,243756,245389,1457,1457,51371.65492,830,830,25961.1295,-1.978791213,4171,4171,134431.3018,2.616838059,2823,2823,99368.86515,1.934313101
petC (Nostoc_chromosome 2949366..2950006),all2453,640,2949366,2950006,1423,1423,129.7391193,667,667,65.9718356,-1.966583439,1982,1982,174.616945,1.345908204,1803,1803,157.8016285,1.21629952
rps1 (Nostoc_chromosome 140187..141319),all0136,1132,140187,141319,1411,1411,72.73218024,727,727,40.65375749,-1.789064154,2691,2691,134.0386301,1.842906808,3284,3284,162.4996574,2.234219527
nusG,alr5299,733,6320965,6321698,1409,1664,132.4632379,766,853,73.66441845,-1.79819838,1486,1796,138.1545102,1.042964919,3671,4324,330.4284542,2.49449175
fda,all4563,1180,5457510,5458690,1400,1400,69.22963594,951,951,51.01656547,-1.35700307,2127,2127,101.6361469,1.46810171,2811,2812,133.4839461,1.928133007
hoxY,alr0764,646,885234,885880,1343,1347,121.6693246,635,640,62.71337364,-1.940085782,8,8,0.698264847,-174.2452382,27,27,2.341137784,-51.97016827
all2115,all2115,973,2532453,2533426,1340,1340,80.35963908,451,453,29.47121698,-2.726716007,644,644,37.31949315,-2.153288598,696,696,40.06748909,-2.005607062
alr0751,alr0751,595,872474,873069,1333,1334,130.8232347,910,910,96.81377056,-1.351287466,9,9,0.852880635,-153.3898525,36,36,3.389075649,-38.60145015
chlN,all5076,1504,6048451,6049955,1332,1332,51.67760856,488,488,20.53925533,-2.516041002,982,982,36.81513194,-1.403705646,1264,1264,47.07550263,-1.097760102
alr0731,alr0731,724,853118,853842,1314,1314,105.9016724,347,347,30.3391645,-3.490592906,201,201,15.65381514,-6.765230801,412,412,31.87530712,-3.322373397
rps20,asr1592,394,1865062,1865456,1311,1311,194.156748,894,894,143.6329251,-1.351756555,1651,1651,236.2727092,1.216917319,1956,1956,278.0791048,1.432240227
all2368,all2368,535,2851801,2852336,1303,1303,142.1139312,606,606,71.70204632,-1.98200663,439,439,46.26722453,-3.071589718,707,707,74.02209284,-1.919885344
all2624,all2624,949,3133690,3134639,1293,1293,79.50205084,388,388,25.88083126,-3.071850746,1215,1215,72.1892908,-1.101299791,1170,1170,69.05821957,-1.151232269
all2177,all2177,985,2617117,2618102,1293,1308,77.48498136,498,536,34.44619591,-2.249449592,1081,1095,62.68167574,-1.236166399,637,646,36.73601261,-2.109237662
fus (Nostoc_chromosome 5191692..5193871),all4338,2179,5191692,5193871,1255,1260,33.74110756,1005,1009,29.31208046,-1.151099036,3140,3142,81.30395275,2.409640899,5003,5006,128.6854196,3.813906209
alr0750,alr0750,643,871841,872484,1236,1236,112.1640074,679,679,66.84539739,-1.677961561,7,7,0.613832356,-182.7274276,25,25,2.17783395,-51.5025525
all1164,all1164,481,1368247,1368728,1233,1254,152.1242603,682,689,90.67485164,-1.677689652,1197,1219,142.8964169,-1.064577151,1303,1335,155.4647445,1.021958918
alr0124,alr0124,3460,125575,129035,1231,1231,20.76002985,230,230,4.20789065,-4.933595374,1327,1327,21.62507059,1.041668569,796,796,12.88643231,-1.610999021
zam,alr1240,2452,1472903,1475355,1224,1228,29.22294094,938,940,24.26722383,-1.204214423,1827,1836,42.21967839,1.444744335,1760,1767,40.36563712,1.381299617
all0860,all0860,2719,986356,989075,1207,1207,25.90264312,996,996,23.18797583,-1.117072198,1343,1343,27.85027673,1.075190536,1270,1270,26.16316267,1.010057643
asl0550,asl0550,319,643803,644122,1201,1223,223.7081433,678,695,137.9135157,-1.622090063,597,604,106.7600984,-2.095428411,566,580,101.8434349,-2.196588749
rps14,all3969,403,4786365,4786768,1198,1198,173.4593806,328,328,51.52067042,-3.366791993,2340,2340,327.3961145,1.887451191,2689,2689,373.7502433,2.154684526
alr3280,alr3280,757,3954794,3955551,1181,1181,91.03324784,788,788,65.89357131,-1.381519411,2217,2217,165.1324876,1.813979964,848,848,62.74739504,-1.450789276
alr1207,alr1207,829,1422192,1423021,1157,1167,82.14144621,752,769,58.7197932,-1.398871517,860,875,59.51360144,-1.380212997,750,768,51.89223994,-1.582923503
ccmM,all0865,1768,994400,996168,1154,1154,38.08636872,766,766,27.42579447,-1.388706123,2618,2619,83.52489675,2.193039126,5079,5081,160.9765673,4.226618939
hoxF,alr0752,1735,873279,875014,1145,1145,38.50809433,779,781,28.49471141,-1.351411979,21,21,0.682468366,-56.42473156,33,33,1.065393858,-36.14446811
rbpA2,alr2087,412,2495217,2495629,1141,1142,161.7390572,631,631,96.94933876,-1.668284274,133,133,18.20191721,-8.885825343,1135,1137,154.5820195,-1.04629929
petH,all4121,1423,4964227,4965650,1127,1127,46.21309289,640,640,28.47002064,-1.623219508,4838,4838,191.7006889,4.148189982,8661,8661,340.9250136,7.37723862
all2263,all2263,970,2722088,2723058,1119,1126,67.73492834,770,775,50.57579013,-1.339275732,72,72,4.185269918,-16.18412424,94,94,5.428150088,-12.47845532
alr2980,alr2980,424,3621147,3621571,1105,1105,152.069613,514,514,76.73791066,-1.981675182,343,343,45.61324536,-3.333891545,475,475,62.7514089,-2.423365718
alr0782,alr0782,808,905181,905989,1102,1102,79.58225724,796,796,62.36119303,-1.276150333,555,555,38.72971776,-2.054811185,571,571,39.58407269,-2.010461578
alr4330,alr4330,2740,5180745,5183485,1098,1098,23.38286901,962,962,22.22476704,-1.052108621,1110,1110,22.84205252,-1.023676353,1038,1038,21.21986022,-1.101933225
all4220,all4220,559,5056403,5056962,1085,1085,113.2567121,597,597,67.60444182,-1.675285071,957,957,96.53011856,-1.173278494,746,746,74.7519881,-1.515099665
atp1,all0011,469,9131,9600,1082,1098,136.6078061,544,555,74.90880148,-1.823654944,646,657,78.9869304,-1.729498861,1658,1674,199.9301717,1.46353402
atpG,all0008,592,7358,7950,1079,1079,106.3520235,590,590,63.08745574,-1.68578717,1160,1160,110.483899,1.038850935,2224,2224,210.4305567,1.978622971
cphA (Nostoc_chromosome 4678949..4681755),all3879,2806,4678949,4681755,1078,1078,22.41698048,786,786,17.73158619,-1.264239997,3953,3953,79.43316319,3.543437229,3894,3894,77.73274574,3.467583238
clpC,alr3684,1438,4443882,4445320,1060,1078,43.74273103,729,744,32.75116535,-1.335608384,1213,1234,48.38591781,1.10614762,1072,1083,42.18570376,-1.036908884
cytA,alr4251,436,5100118,5100554,1054,1054,141.0587857,528,528,76.658469,-1.840093959,180,180,23.27816411,-6.059704068,432,432,55.50000031,-2.541599729
chlB,alr3441,1627,4147063,4148690,1033,1033,37.04748987,715,715,27.81833911,-1.331764981,879,879,30.46239406,-1.216171316,1117,1117,38.45575553,1.038012444
alr1744,alr1744,1255,2098394,2099649,1026,1026,47.7034352,483,483,24.36217806,-1.958094021,1290,1290,57.95737326,1.214951775,1205,1205,53.78226015,1.127429501
dnaK (Nostoc_chromosome 3632722..3634889),alr2990,2167,3632722,3634889,1026,1027,27.6539741,807,807,23.57367716,-1.173086995,1539,1539,40.04445785,1.448054363,1641,1641,42.41753216,1.533867502
alr0599,alr0599,2008,696095,698103,1023,1023,29.72746967,661,661,20.83773253,-1.426617298,1038,1038,29.14716737,-1.019909389,1059,1059,29.54118958,-1.006305775
groEL (Nostoc_chromosome 2265466..2267249),alr1896,1783,2265466,2267249,1020,1020,33.38065452,739,739,26.23649423,-1.272298586,963,963,30.4535309,-1.096117709,1061,1061,33.33187686,-1.001463394
all1304,all1304,1822,1544864,1546686,1016,1016,32.53803745,795,795,27.62049542,-1.178039603,3361,3361,104.0118568,3.196623551,1106,1106,34.00184493,1.044987577
all3259,all3259,727,3932280,3933007,1000,1000,80.26230145,707,707,61.55987241,-1.303808769,938,938,72.74968836,-1.103266602,756,756,58.24828093,-1.377934252
asr1309,asr1309,331,1551888,1552219,998,998,175.9335099,320,320,61.19764256,-2.874841293,528,528,89.94326289,-1.956049894,774,774,130.9811186,-1.343197491
all2681,all2681,748,3267480,3268228,998,998,77.85293017,447,447,37.82845755,-2.058051932,160,160,12.06093827,-6.454964651,351,351,26.28459239,-2.961922673
alr4259,alr4259,553,5109217,5109770,986,986,104.0393914,449,449,51.39654407,-2.024248775,409,409,41.70238433,-2.494806786,684,684,69.2830022,-1.501658244
hemE,all3909,1153,4711860,4713013,985,985,49.84859736,708,709,38.92509095,-1.280628924,969,969,47.3867779,-1.051951611,1169,1169,56.79118515,1.139273483
alr3681,alr3681,1516,4439904,4441420,975,975,37.52765556,761,761,31.77592221,-1.181009171,1283,1283,47.71887153,1.271565485,1706,1706,63.03409959,1.679670597
alr0286,alr0286,553,323195,323748,974,974,102.7731919,530,530,60.66852641,-1.694011673,93,93,9.482449249,-10.83825383,137,137,13.87685863,-7.406084812
ndhG,alr0225,709,241564,242273,963,988,81.31239046,481,501,44.73054594,-1.817826918,1345,1366,108.6343509,1.336012265,1196,1217,96.14795932,1.182451516
psaC,asr3463,346,4173832,4174178,958,958,161.5605897,250,250,45.73794185,-3.532310007,652,652,106.2512888,-1.520551812,639,639,103.4476162,-1.561762326
tsf,all4791,1042,5708439,5709481,951,951,53.25480728,598,598,36.32839183,-1.465928014,1677,1677,90.74611754,1.703998609,2510,2510,134.9278905,2.533628369
rps15,asl0749,370,871422,871792,948,1644,259.2663231,358,495,84.68688974,-3.061469419,2329,3664,558.3627669,2.15362628,2569,3744,566.8000032,2.186169019
all4131,all4131,1303,4979254,4980557,937,937,41.96055217,624,624,30.31467259,-1.384166431,702,702,30.37773618,-1.381292928,738,738,31.72544147,-1.322615233
all5207,all5207,1342,6209606,6210948,936,937,40.74113225,383,383,18.06587356,-2.255143219,589,589,24.74716698,-1.646294798,546,546,22.78955552,-1.7877107
ftsH (Nostoc_chromosome 5689215..5691286),all4776,2071,5689215,5691286,930,930,26.20287042,617,617,18.85896147,-1.389412161,1143,1144,31.14645583,1.188665797,964,964,26.07309956,-1.004977193
all2107,all2107,481,2525289,2525770,924,956,115.973519,439,456,60.01122256,-1.932530518,434,451,52.86815751,-2.193636482,495,513,59.74038495,-1.941291793
all2349,all2349,1717,2830756,2832473,922,922,31.33333668,612,612,22.56284371,-1.388713989,254,254,8.34115384,-3.756475097,370,370,12.07055271,-2.595849373
all4185,all4185,1201,5034547,5035748,918,933,45.32988902,521,526,27.72397157,-1.635043121,1684,1687,79.20175133,1.747230206,1843,1848,86.18956474,1.901384861
rpl32,asl3674,274,4430458,4430732,912,912,194.2183655,396,396,91.48656702,-2.12291675,1881,1881,387.0801872,1.993015368,2243,2243,458.5370565,2.360935616
all3687,all3687,481,4447102,4447583,904,904,109.665336,382,382,50.27255925,-2.181415421,72,72,8.440149314,-12.99329335,46,46,5.356837637,-20.4720291
rbpD (Nostoc_chromosome 5583478..5583911),alr4683,433,5583478,5583911,900,900,121.2831959,539,539,78.79770649,-1.53917165,694,696,90.63251947,-1.3381863,689,690,89.2600082,-1.358762993
ndhB,all4883,1663,5818140,5819803,899,899,31.54376016,551,551,20.97355541,-1.503977725,1027,1027,34.82097314,1.103894176,1134,1134,38.19588115,1.21088548
all4396,all4396,2257,5269211,5271468,894,894,23.11276902,527,527,14.7805898,-1.563724407,1068,1068,26.68101846,1.154384334,1218,1218,30.22814225,1.307854642
psbD (Nostoc_chromosome 5143630..5144786),alr4290,1156,5143630,5144786,892,3565,179.9482881,452,2882,157.8152074,-1.140246818,898,4577,223.2470805,1.240617973,833,3271,158.4960481,-1.135348738
alr1129,alr1129,1078,1328801,1329879,891,891,48.22863413,451,452,26.54192283,-1.817073859,6250,6254,327.1160292,6.782610271,4193,4199,218.183971,4.523950863
